id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
000100001	20250701	1	900000000000207008	24700007	000100000	0	116680003	900000000000011006	900000000000451002
000100002	20250701	1	900000000000207008	66760008	000100000	0	116680003	900000000000011006	900000000000451002
000100003	20250701	1	900000000000207008	426373005	24700007	0	116680003	900000000000011006	900000000000451002
000100004	20250701	1	900000000000207008	425500002	24700007	0	116680003	900000000000011006	900000000000451002
000100005	20250701	1	900000000000207008	000001000	24700007	0	116680003	900000000000011006	900000000000451002
000100006	20250701	1	900000000000207008	000001000	66760008	0	116680003	900000000000011006	900000000000451002
000100007	20250701	1	900000000000207008	140004	000100000	0	116680003	900000000000011006	900000000000451002
000100008	20250701	1	900000000000207008	774880006	000200000	0	116680003	900000000000011006	900000000000451002
000100009	20250701	1	900000000000207008	318604001	774880006	0	116680003	900000000000011006	900000000000451002
000100010	20250701	1	900000000000207008	318590006	774880006	0	116680003	900000000000011006	900000000000451002
000100011	20250701	1	900000000000207008	000002000	000300000	0	116680003	900000000000011006	900000000000451002
000100012	20250701	1	900000000000207008	318604001	000002000	1	127489000	900000000000011006	900000000000451002
000100013	20250701	1	900000000000207008	318590006	000002000	1	127489000	900000000000011006	900000000000451002
000100014	20250701	1	900000000000207008	000001000	24700007	1	42752001	900000000000011006	900000000000451002
