id	effectiveTime	active	moduleId	definitionStatusId
24700007	20250701	1	900000000000207008	900000000000074008
66760008	20250701	1	900000000000207008	900000000000074008
318604001	20250701	1	900000000000207008	900000000000074008
318590006	20250701	1	900000000000207008	900000000000074008
774880006	20250701	1	900000000000207008	900000000000074008
127489000	20250701	1	900000000000207008	900000000000074008
42752001	20250701	1	900000000000207008	900000000000074008
426373005	20250701	1	900000000000207008	900000000000074008
425500002	20250701	1	900000000000207008	900000000000074008
140004	20250701	1	900000000000207008	900000000000074008
24443003	20250701	1	900000000000207008	900000000000074008
26390003	20250701	1	900000000000207008	900000000000074008
18590009	20250701	1	900000000000207008	900000000000074008
000001000	20250701	1	900000000000207008	900000000000074008
000002000	20250701	1	900000000000207008	900000000000074008
000100000	20250701	1	900000000000207008	900000000000074008
000200000	20250701	1	900000000000207008	900000000000074008
000300000	20250701	1	900000000000207008	900000000000074008
